StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q4_12_TEXT,Q5,Q6,Q7
31/08/2022 08:36,31/08/2022 08:38,Dirección IP,131.178.102.148,100,94,VERDADERO,31/08/2022 08:38,R_2VPj83B5Aa35Qaq,,,,,25.6449,-100.311,anonymous,EN,23,2,Solo,Cine de culto,,"Palomitas,Bebida,Chocolates",270,Cheetos Flamin Hot
31/08/2022 08:51,31/08/2022 08:54,Vista previa de encuesta,,100,175,VERDADERO,31/08/2022 08:54,R_42ZlH7jMWQusqWd,,,,,25.6449,-100.311,preview,EN,56,0,Acompañado,Comedia,,"Palomitas,Bebida",400,Nuez de la India
31/08/2022 09:21,31/08/2022 09:22,Dirección IP,131.178.102.200,100,52,VERDADERO,31/08/2022 09:22,R_1r8P1ULvwG5Xc69,,,,,25.6449,-100.311,anonymous,EN,20,1,Acompañado,Ciencia Ficcion,,"Palomitas,Bebida",170,Sabritas
31/08/2022 09:23,31/08/2022 09:24,Dirección IP,200.68.146.232,100,79,VERDADERO,31/08/2022 09:24,R_2wBo9zH5Alqf2lS,,,,,20.7246,-103.4264,anonymous,EN,23,3,Acompañado,Horror,,Nachos,250,Algún tipo de pan
31/08/2022 09:24,31/08/2022 09:24,Dirección IP,131.178.102.192,100,33,VERDADERO,31/08/2022 09:24,R_3G0QYNUpOxvy9oA,,,,,25.6449,-100.311,anonymous,EN,22,3,Solo,Comedia,,"Palomitas,Bebida,Hotdog",200,Nuggets
31/08/2022 09:23,31/08/2022 09:24,Dirección IP,200.68.141.18,100,58,VERDADERO,31/08/2022 09:24,R_1mw4DGMsS0MpWIR,,,,,19.4326,-99.1332,anonymous,EN,21,1,Acompañado,Ciencia Ficcion,,"Palomitas,Bebida,Hotdog,Nachos",200,Ninguna
31/08/2022 09:24,31/08/2022 09:24,Dirección IP,201.173.125.201,100,48,VERDADERO,31/08/2022 09:24,R_3HN6er5wYvWPvZI,,,,,25.6554,-100.3258,anonymous,EN,36,2,Acompañado,Romance,,"Palomitas,Bebida",350,Palomitas
31/08/2022 09:22,31/08/2022 09:24,Dirección IP,189.153.106.65,100,126,VERDADERO,31/08/2022 09:24,R_3G2FMo3m5pRQXnn,,,,,25.6554,-100.3258,anonymous,EN,64,0,Acompañado,Ciencia Ficcion,,"Palomitas,Hotdog",120,Ninguna
31/08/2022 09:26,31/08/2022 09:27,Dirección IP,131.178.102.212,100,81,VERDADERO,31/08/2022 09:27,R_2S7jw45HBp5R5dR,,,,,25.6449,-100.311,anonymous,EN,22,1,Acompañado,Ciencia Ficcion,,"Palomitas,ICEE/Frappe",80,Papas fritas
31/08/2022 09:26,31/08/2022 09:29,Dirección IP,187.190.78.85,100,145,VERDADERO,31/08/2022 09:29,R_pMLDsHzfnGOCvtf,,,,,25.6554,-100.3258,anonymous,EN,22,1,Acompañado,Thriller Psicologico,,"Palomitas,ICEE/Frappe,Hotdog,Crepas/Pizza",300,nueces
31/08/2022 09:40,31/08/2022 09:41,Dirección IP,131.178.102.152,100,51,VERDADERO,31/08/2022 09:41,R_R4dKU59oPsZZ2ud,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Superheroes,,Nachos,100,Elote en vaso
31/08/2022 09:57,31/08/2022 09:59,Dirección IP,189.156.251.26,100,130,VERDADERO,31/08/2022 09:59,R_1DCGsYj6DlrtMLW,,,,,19.0436,-98.1981,anonymous,EN,34,0,Acompañado,Ciencia Ficcion,,Palomitas,300,Ninguna
31/08/2022 10:01,31/08/2022 10:02,Dirección IP,189.153.75.113,100,62,VERDADERO,31/08/2022 10:02,R_2gDBb0hpjR8LuCJ,,,,,25.6554,-100.3258,anonymous,EN,21,1,Acompañado,Comedia,,Palomitas,150,Los hotdogs
31/08/2022 10:01,31/08/2022 10:03,Dirección IP,187.189.114.94,100,120,VERDADERO,31/08/2022 10:03,R_3jcV2xDhNg3de1c,,,,,19.5058,-99.1158,anonymous,EN,25,2,Acompañado,Ciencia Ficcion,,"Palomitas,Bebida,ICEE/Frappe",200,esquites
31/08/2022 10:14,31/08/2022 10:22,Dirección IP,131.178.102.136,100,488,VERDADERO,31/08/2022 10:22,R_2fdlUB6LNFncDiV,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Superheroes,,Hotdog,100,Galletas de McDonalds
31/08/2022 10:32,31/08/2022 10:33,Dirección IP,201.173.125.201,100,46,VERDADERO,31/08/2022 10:33,R_29hQA2fboXfAOsm,,,,,25.6554,-100.3258,anonymous,EN,38,1,Acompañado,Comedia,,"Palomitas,Bebida,Hotdog",400,Elote
31/08/2022 10:34,31/08/2022 10:36,Dirección IP,189.207.60.180,100,115,VERDADERO,31/08/2022 10:36,R_RVVUYTgvteNI8Qp,,,,,25.6449,-100.311,anonymous,EN,19,1,Acompañado,Superheroes,,"Palomitas,Chocolates",150,Fritos con queso
31/08/2022 10:32,31/08/2022 10:38,Dirección IP,189.207.60.180,100,375,VERDADERO,31/08/2022 10:38,R_3yB4wx1vYFJjQl3,,,,,25.6449,-100.311,anonymous,EN,20,1,Acompañado,Ciencia Ficcion,,Palomitas,0,Un chocomilk
31/08/2022 10:42,31/08/2022 10:44,Dirección IP,148.246.183.182,100,119,VERDADERO,31/08/2022 10:44,R_2dijHOltWWmILWe,,,,,28.6738,-100.5289,anonymous,EN,18,1,Acompañado,Comedia,,Hotdog,200,Chocolate
31/08/2022 10:43,31/08/2022 10:45,Dirección IP,131.178.102.192,100,129,VERDADERO,31/08/2022 10:45,R_1dmZKNxaS5JWlRg,,,,,25.6449,-100.311,anonymous,EN,21,0,Acompañado,Superheroes,,"Palomitas,Bebida",100,Hamburguesas
31/08/2022 10:46,31/08/2022 10:48,Dirección IP,187.188.73.159,100,119,VERDADERO,31/08/2022 10:48,R_xrAvPYu00t0VLSp,,,,,25.5851,-100.2854,anonymous,EN,20,0,Acompañado,Superheroes,,"Bebida,Dulceria a Granel",300,Helados
31/08/2022 10:48,31/08/2022 10:51,Dirección IP,131.178.102.184,100,169,VERDADERO,31/08/2022 10:51,R_2XmP24KiCMYbp3J,,,,,25.6449,-100.311,anonymous,EN,21,1,Solo,Otro,,Palomitas,50,Donas 
31/08/2022 10:57,31/08/2022 10:57,Dirección IP,187.189.187.221,100,38,VERDADERO,31/08/2022 10:57,R_1goxXDXTOIg4IWf,,,,,22.1638,-100.9818,anonymous,EN,21,1,Acompañado,Romance,,ICEE/Frappe,200,Bolsa de papitas
31/08/2022 11:14,31/08/2022 11:14,Dirección IP,189.188.117.147,100,47,VERDADERO,31/08/2022 11:14,R_2QzFILAhZbvOmC8,,,,,19.4593,-99.1036,anonymous,EN,34,12,Solo,Otro,Porno,"Palomitas,ICEE/Frappe,Hotdog,Nachos,Dulceria a Granel",500,Dorilokos
31/08/2022 11:22,31/08/2022 11:23,Dirección IP,189.203.148.63,100,82,VERDADERO,31/08/2022 11:23,R_325tpVP2uvmC7hp,,,,,25.6554,-100.3258,anonymous,EN,20,2,Acompañado,Superheroes,,Palomitas,200,Sabritas moradas
31/08/2022 11:31,31/08/2022 11:32,Dirección IP,201.141.104.28,100,66,VERDADERO,31/08/2022 11:32,R_1K3ajqEpdo2kEwE,,,,,19.4326,-99.1332,anonymous,EN,24,2,Acompañado,Accion adulta,,"Palomitas,Bebida",300,Papas toreadas
